reference_file,target_file,reference_base_frequency_hz,target_base_frequency_hz,matched_bands,reference_band_count,target_band_count,mean_abs_raw_frequency_shift_hz,mean_abs_aligned_frequency_shift_hz,mean_abs_band_difference_db,mean_abs_envelope_difference_db
01_Multifonic rolmo.wav,02_Multifonic lower.wav,468.75,621.09375,1,1,1,117.1875,35.15625,0.6543873117364392,0.28296266697879346
01_Multifonic rolmo.wav,03_Multifonic lower.wav,468.75,597.65625,0,1,2,nan,nan,nan,6.693526707039016
01_Multifonic rolmo.wav,04_Multifonic lower.wav,468.75,539.0625,1,1,1,82.03125,11.71875,3.188346910293628,2.9997353081293205
01_Multifonic rolmo.wav,05_Multifonic lower.wav,468.75,515.625,1,1,3,35.15625,11.71875,5.2333282984176215,5.246541961450038
01_Multifonic rolmo.wav,06_Multifonic lower.wav,468.75,527.34375,1,1,2,46.875,11.71875,7.196805857145833,7.241777248723924
01_Multifonic rolmo.wav,07_Multifonic fujara - long shepherd pipe.wav,468.75,480.46875,1,1,2,23.4375,35.15625,2.6308240956073945,3.1789472129611447
01_Multifonic rolmo.wav,08_Multifonic higher.wav,468.75,621.09375,1,1,2,140.625,11.71875,5.1256126895131935,5.203956994459016
01_Multifonic rolmo.wav,09_Multifonic higher.wav,468.75,539.0625,1,1,1,70.3125,0.0,5.6025400695461585,5.6025400695461585
01_Multifonic rolmo.wav,10_Multifonic higher.wav,468.75,550.78125,1,1,3,70.3125,11.71875,1.9574467718148298,2.014169269200771
01_Multifonic rolmo.wav,11_Multifonic higher.wav,468.75,210.9375,0,1,5,nan,nan,nan,0.664147121243726
01_Multifonic rolmo.wav,12_Bissbigliando.wav,468.75,527.34375,1,1,2,70.3125,11.71875,20.390086530732763,20.43291154189029
01_Multifonic rolmo.wav,13_Colour sound.wav,468.75,445.3125,1,1,3,70.3125,46.875,26.61865722897722,27.0087276405898
01_Multifonic rolmo.wav,14_Sing tone.wav,468.75,503.90625,1,1,5,0.0,35.15625,5.445691084624919,5.37115308204303
01_Multifonic rolmo.wav,15_Slaps with reed and without reed.wav,468.75,480.46875,0,1,2,nan,nan,nan,39.57516922219989
02_Multifonic lower.wav,01_Multifonic rolmo.wav,621.09375,468.75,1,1,1,117.1875,35.15625,0.6543873117364392,0.8149225865526546
02_Multifonic lower.wav,03_Multifonic lower.wav,621.09375,597.65625,0,1,2,nan,nan,nan,6.1816509168115985
02_Multifonic lower.wav,04_Multifonic lower.wav,621.09375,539.0625,1,1,1,35.15625,46.875,2.533959598557189,1.558068542844751
02_Multifonic lower.wav,05_Multifonic lower.wav,621.09375,515.625,1,1,3,82.03125,23.4375,4.578940986681182,4.454530384543901
02_Multifonic lower.wav,06_Multifonic lower.wav,621.09375,527.34375,1,1,2,70.3125,23.4375,6.542418545409394,6.374518933740745
02_Multifonic lower.wav,07_Multifonic fujara - long shepherd pipe.wav,621.09375,480.46875,1,1,2,140.625,0.0,3.2852114073438337,3.2852114073438337
02_Multifonic lower.wav,08_Multifonic higher.wav,621.09375,621.09375,1,1,2,23.4375,23.4375,4.471225377776754,4.242962017844661
02_Multifonic lower.wav,09_Multifonic higher.wav,621.09375,539.0625,1,1,1,46.875,35.15625,4.948152757809719,4.425167013058601
02_Multifonic lower.wav,10_Multifonic higher.wav,621.09375,550.78125,1,1,3,46.875,23.4375,1.3030594600783907,1.0884987625579043
02_Multifonic lower.wav,11_Multifonic higher.wav,621.09375,210.9375,0,1,5,nan,nan,nan,1.4692086982981039
02_Multifonic lower.wav,12_Bissbigliando.wav,621.09375,527.34375,1,1,2,46.875,46.875,21.044473842469202,21.31358503350031
02_Multifonic lower.wav,13_Colour sound.wav,621.09375,445.3125,1,1,3,187.5,11.71875,27.27304454071366,27.350244780226895
02_Multifonic lower.wav,14_Sing tone.wav,621.09375,503.90625,1,1,5,117.1875,0.0,4.7913037728884795,4.7913037728884795
02_Multifonic lower.wav,15_Slaps with reed and without reed.wav,621.09375,480.46875,0,1,2,nan,nan,nan,40.1195603192555
03_Multifonic lower.wav,01_Multifonic rolmo.wav,597.65625,468.75,0,2,1,nan,nan,nan,3.217721214756787
03_Multifonic lower.wav,02_Multifonic lower.wav,597.65625,621.09375,0,2,1,nan,nan,nan,4.284408966514055
03_Multifonic lower.wav,04_Multifonic lower.wav,597.65625,539.0625,0,2,1,nan,nan,nan,1.7062384161845152
03_Multifonic lower.wav,05_Multifonic lower.wav,597.65625,515.625,1,2,3,23.4375,105.46875,0.33545341731028433,4.261304981363068
03_Multifonic lower.wav,06_Multifonic lower.wav,597.65625,527.34375,1,2,2,46.875,117.1875,5.006326077065311,3.8201876745250236
03_Multifonic lower.wav,07_Multifonic fujara - long shepherd pipe.wav,597.65625,480.46875,1,2,2,199.21875,316.40625,16.371460431613542,14.6147354096293
03_Multifonic lower.wav,08_Multifonic higher.wav,597.65625,621.09375,1,2,2,35.15625,11.71875,2.500148002450002,3.132617203348935
03_Multifonic lower.wav,09_Multifonic higher.wav,597.65625,539.0625,0,2,1,nan,nan,nan,10.592181759382427
03_Multifonic lower.wav,10_Multifonic higher.wav,597.65625,550.78125,1,2,3,105.46875,152.34375,0.34379537377245484,2.1324709571264884
03_Multifonic lower.wav,11_Multifonic higher.wav,597.65625,210.9375,0,2,5,nan,nan,nan,2.4587622755419676
03_Multifonic lower.wav,12_Bissbigliando.wav,597.65625,527.34375,1,2,2,46.875,117.1875,17.500161057366704,14.910051454497031
03_Multifonic lower.wav,13_Colour sound.wav,597.65625,445.3125,1,2,3,175.78125,328.125,20.779308027199242,17.17678736229666
03_Multifonic lower.wav,14_Sing tone.wav,597.65625,503.90625,1,2,5,140.625,234.375,2.256056429470232,2.695851520607553
03_Multifonic lower.wav,15_Slaps with reed and without reed.wav,597.65625,480.46875,1,2,2,82.03125,199.21875,23.273038861808544,19.128715565555716
04_Multifonic lower.wav,01_Multifonic rolmo.wav,539.0625,468.75,1,1,1,82.03125,11.71875,3.188346910293628,3.171093151361127
04_Multifonic lower.wav,02_Multifonic lower.wav,539.0625,621.09375,1,1,1,35.15625,46.875,2.533959598557189,3.0813549443585124
04_Multifonic lower.wav,03_Multifonic lower.wav,539.0625,597.65625,0,1,2,nan,nan,nan,3.428709407127549
04_Multifonic lower.wav,05_Multifonic lower.wav,539.0625,515.625,1,1,3,46.875,23.4375,2.0449813881239933,2.0400849202513065
04_Multifonic lower.wav,06_Multifonic lower.wav,539.0625,527.34375,1,1,2,35.15625,23.4375,4.008458946852205,4.073860962795543
04_Multifonic lower.wav,07_Multifonic fujara - long shepherd pipe.wav,539.0625,480.46875,1,1,2,105.46875,46.875,5.819171005901023,6.606461408755198
04_Multifonic lower.wav,08_Multifonic higher.wav,539.0625,621.09375,1,1,2,58.59375,23.4375,1.9372657792195653,2.0723668875649324
04_Multifonic lower.wav,09_Multifonic higher.wav,539.0625,539.0625,1,1,1,11.71875,11.71875,2.4141931592525303,2.538930963213712
04_Multifonic lower.wav,10_Multifonic higher.wav,539.0625,550.78125,1,1,3,11.71875,23.4375,1.2309001384787983,1.1500964719043694
04_Multifonic lower.wav,11_Multifonic higher.wav,539.0625,210.9375,0,1,5,nan,nan,nan,2.996614796332331
04_Multifonic lower.wav,12_Bissbigliando.wav,539.0625,527.34375,1,1,2,11.71875,0.0,23.57843344102639,23.57843344102639
04_Multifonic lower.wav,13_Colour sound.wav,539.0625,445.3125,1,1,3,152.34375,58.59375,29.80700413927085,30.328935640355937
04_Multifonic lower.wav,14_Sing tone.wav,539.0625,503.90625,1,1,5,82.03125,46.875,2.2573441743312905,2.0850173119906863
04_Multifonic lower.wav,15_Slaps with reed and without reed.wav,539.0625,480.46875,0,1,2,nan,nan,nan,42.80418472263891
05_Multifonic lower.wav,01_Multifonic rolmo.wav,515.625,468.75,1,3,1,35.15625,11.71875,5.2333282984176215,3.362370168928217
05_Multifonic lower.wav,02_Multifonic lower.wav,515.625,621.09375,1,3,1,82.03125,23.4375,4.578940986681182,4.111881092479496
05_Multifonic lower.wav,03_Multifonic lower.wav,515.625,597.65625,1,3,2,23.4375,105.46875,0.33545341731028433,4.34000573491446
05_Multifonic lower.wav,04_Multifonic lower.wav,515.625,539.0625,1,3,1,46.875,23.4375,2.0449813881239933,3.328347630519923
05_Multifonic lower.wav,06_Multifonic lower.wav,515.625,527.34375,2,3,2,17.578125,5.859375,3.317175109241619,4.065797615580192
05_Multifonic lower.wav,07_Multifonic fujara - long shepherd pipe.wav,515.625,480.46875,2,3,2,117.1875,117.1875,12.285533121474423,11.447424866417828
05_Multifonic lower.wav,08_Multifonic higher.wav,515.625,621.09375,2,3,2,58.59375,46.875,1.1362050970220727,1.3662127322566875
05_Multifonic lower.wav,09_Multifonic higher.wav,515.625,539.0625,1,3,1,35.15625,11.71875,0.369211771128537,6.456812072202735
05_Multifonic lower.wav,10_Multifonic higher.wav,515.625,550.78125,2,3,3,58.59375,23.4375,1.9775651588427654,1.520015939164856
05_Multifonic lower.wav,11_Multifonic higher.wav,515.625,210.9375,0,3,5,nan,nan,nan,3.39002978745915
05_Multifonic lower.wav,12_Bissbigliando.wav,515.625,527.34375,2,3,2,29.296875,17.578125,21.72951465191369,16.43974097141947
05_Multifonic lower.wav,13_Colour sound.wav,515.625,445.3125,2,3,3,128.90625,128.90625,26.483373485952185,20.28616355414621
05_Multifonic lower.wav,14_Sing tone.wav,515.625,503.90625,2,3,5,76.171875,76.171875,1.0664828991836224,1.758082776510504
05_Multifonic lower.wav,15_Slaps with reed and without reed.wav,515.625,480.46875,2,3,2,123.046875,123.046875,18.077945038228513,27.005147496087105
06_Multifonic lower.wav,01_Multifonic rolmo.wav,527.34375,468.75,1,2,1,46.875,11.71875,7.196805857145833,5.537694085086435
06_Multifonic lower.wav,02_Multifonic lower.wav,527.34375,621.09375,1,2,1,70.3125,23.4375,6.542418545409394,8.713543987101561
06_Multifonic lower.wav,03_Multifonic lower.wav,527.34375,597.65625,1,2,2,46.875,117.1875,5.006326077065311,3.96373632259126
06_Multifonic lower.wav,04_Multifonic lower.wav,527.34375,539.0625,1,2,1,35.15625,23.4375,4.008458946852205,6.551904341129081
06_Multifonic lower.wav,05_Multifonic lower.wav,527.34375,515.625,2,2,3,17.578125,5.859375,3.317175109241619,3.450049805600856
06_Multifonic lower.wav,07_Multifonic fujara - long shepherd pipe.wav,527.34375,480.46875,2,2,2,111.328125,111.328125,15.602708230716042,15.182786977473981
06_Multifonic lower.wav,08_Multifonic higher.wav,527.34375,621.09375,2,2,2,52.734375,52.734375,2.2886856211239746,3.614918947467088
06_Multifonic lower.wav,09_Multifonic higher.wav,527.34375,539.0625,1,2,1,23.4375,11.71875,1.5942657875996744,2.2307654867358324
06_Multifonic lower.wav,10_Multifonic higher.wav,527.34375,550.78125,2,2,3,41.015625,17.578125,5.294740268084384,5.026344751669022
06_Multifonic lower.wav,11_Multifonic higher.wav,527.34375,210.9375,1,2,5,23.4375,339.84375,8.44111305822264,5.781175418955507
06_Multifonic lower.wav,12_Bissbigliando.wav,527.34375,527.34375,2,2,2,11.71875,11.71875,25.046689761155307,25.097434652523948
06_Multifonic lower.wav,13_Colour sound.wav,527.34375,445.3125,2,2,3,123.046875,123.046875,29.800548595193803,29.631447058365367
06_Multifonic lower.wav,14_Sing tone.wav,527.34375,503.90625,2,2,5,70.3125,70.3125,2.2506922100579967,1.5128984611506862
