reference_file,target_file,reference_base_frequency_hz,target_base_frequency_hz,reference_band,reference_frequency_hz,reference_relative_frequency_hz,reference_level_db,target_band,target_frequency_hz,target_relative_frequency_hz,target_level_db,raw_frequency_shift_hz,aligned_frequency_shift_hz,band_level_difference_db,envelope_difference_db,matched
14_Sing tone.wav,01_Multifonic rolmo.wav,503.90625,468.75,1,515.625,11.71875,25.200724758788407,1,515.625,46.875,19.75503367416349,0.0,35.15625,-5.445691084624919,-5.606226359441134,yes
14_Sing tone.wav,01_Multifonic rolmo.wav,503.90625,468.75,2,1207.03125,703.125,15.428492537981501,,,,,,,,-1.7114556287546598,no
14_Sing tone.wav,01_Multifonic rolmo.wav,503.90625,468.75,3,2062.5,1558.59375,-0.26642139225723654,,,,,,,,-1.5884726033007526,no
14_Sing tone.wav,01_Multifonic rolmo.wav,503.90625,468.75,4,3691.40625,3187.5,-13.988398758028264,,,,,,,,0.5117645327788711,no
14_Sing tone.wav,01_Multifonic rolmo.wav,503.90625,468.75,5,4628.90625,4125.0,-18.66081635874752,,,,,,,,-0.5750990873566302,no
14_Sing tone.wav,02_Multifonic lower.wav,503.90625,621.09375,1,515.625,11.71875,25.200724758788407,1,632.8125,11.71875,20.409420985899928,117.1875,0.0,-4.7913037728884795,-4.7913037728884795,yes
14_Sing tone.wav,02_Multifonic lower.wav,503.90625,621.09375,2,1207.03125,703.125,15.428492537981501,,,,,,,,-11.874301903272112,no
14_Sing tone.wav,02_Multifonic lower.wav,503.90625,621.09375,3,2062.5,1558.59375,-0.26642139225723654,,,,,,,,-10.140210491203678,no
14_Sing tone.wav,02_Multifonic lower.wav,503.90625,621.09375,4,3691.40625,3187.5,-13.988398758028264,,,,,,,,-8.280002807231963,no
14_Sing tone.wav,02_Multifonic lower.wav,503.90625,621.09375,5,4628.90625,4125.0,-18.66081635874752,,,,,,,,-5.122695435744511,no
14_Sing tone.wav,03_Multifonic lower.wav,503.90625,597.65625,1,515.625,11.71875,25.200724758788407,,,,,,,,1.390347143923119,no
14_Sing tone.wav,03_Multifonic lower.wav,503.90625,597.65625,2,1207.03125,703.125,15.428492537981501,,,,,,,,-8.016644092832044,no
14_Sing tone.wav,03_Multifonic lower.wav,503.90625,597.65625,3,2062.5,1558.59375,-0.26642139225723654,1,1921.875,1324.21875,-2.5224778217274686,-140.625,-234.375,-2.256056429470232,-7.861183645627244,yes
14_Sing tone.wav,03_Multifonic lower.wav,503.90625,597.65625,4,3691.40625,3187.5,-13.988398758028264,,,,,,,,-10.310455486054536,no
